epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
1,0.5461133243815616,14.722996540469637,17.947757845551536,0.001,6.417369760998554
2,0.02116370065232014,11.369332057226941,14.421926594521556,0.001,6.188635758000601
3,0.017445360770812657,9.416957618630601,12.508707889612465,0.001,5.639337616998091
4,0.016364273512320338,9.35184399605115,12.29774762202,0.001,5.888647806001245
5,0.01575999790356015,9.204784598513088,12.04891271819259,0.001,6.136203576999833
6,0.015355059213200744,9.00736726050208,11.99940748593304,0.001,6.144259404998593
7,0.015030184259851342,8.975968365963169,11.745261140938938,0.001,6.139414504999877
8,0.014861793543047182,8.91961546622283,11.680218594031869,0.001,6.5406596359971445
9,0.014751198728417386,8.690437594184186,11.52521866447618,0.001,6.293055425001512
10,0.014603806439925536,9.185790287360001,11.794112872960888,0.001,6.226135692002572
11,0.0145337639397728,9.175589159826616,11.798176381044629,0.001,6.244870498001546
12,0.014669689289305406,9.044520102327823,11.903681654200819,0.001,6.353551897002035
13,0.014429071332231817,8.579394474934892,11.461904765685299,0.001,6.332219698000699
14,0.014249529349930732,9.205194226428963,11.775908432870011,0.001,6.329685577999044
15,0.014200679426765903,8.678564027881174,11.404811800086508,0.001,6.145818295000936
16,0.014090250101958086,8.364351459456316,11.139301459150388,0.001,6.568125906000205
17,0.013857163596679437,8.41621252719839,11.217854089744357,0.001,6.460999594000896
18,0.013829668616489174,8.350892529469556,11.119324865468485,0.001,6.401156192001508
19,0.013686717483769586,8.303670621442556,11.167487273943285,0.001,6.422794222999073
20,0.01357568713052259,8.585160224219976,11.18525719430737,0.001,5.981553223002265
21,0.013461244963011973,8.509305461863656,11.249966945625602,0.001,5.82402327300224
22,0.013376704077007645,8.170396557965812,10.968346213966617,0.001,6.171823138000036
23,0.013270282782759739,8.320182764215934,11.029459340470767,0.001,5.853770080997492
24,0.01315372531481603,8.424962460817676,11.122052483409158,0.001,6.3336222670004645
25,0.013062092033731494,8.716823430007723,11.237940606154686,0.001,5.996876987999713
26,0.013137874173598426,8.01633687887634,10.822759889332962,0.001,6.020900379000523
27,0.012847576334872523,8.005265670194968,10.781132180338956,0.001,6.311494748999394
28,0.012778417649471848,8.134525310122486,10.757508230649625,0.001,6.23522480000247
